ID,name,wins,losses,goals_for,goals_against
288,Carolina Hurricanes,35,26,217,217
289,Columbus Blue Jackets,22,47,164,255
290,Chicago Blackhawks,41,27,216,207
291,Colorado Avalanche,45,28,212,169
292,Dallas Stars,36,28,215,213
293,Detroit Red Wings,51,17,251,187
294,Edmonton Oilers,38,28,205,182
295,Florida Panthers,22,44,180,250
296,Los Angeles Kings,40,27,214,190
297,Minnesota Wild,26,35,195,238
298,Montreal Canadiens,36,31,207,209
299,Nashville Predators,28,41,196,230
300,New Jersey Devils,41,28,205,187
301,New York Islanders,42,28,239,220
302,New York Rangers,36,38,227,258
303,Ottawa Senators,39,27,243,208
304,Philadelphia Flyers,42,27,234,192
305,Phoenix Coyotes,40,27,228,210
306,Pittsburgh Penguins,28,41,198,249
307,San Jose Sharks,44,27,248,199
308,St. Louis Blues,43,27,227,188
309,Tampa Bay Lightning,27,40,178,219
310,Toronto Maple Leafs,43,25,249,207
311,Vancouver Canucks,42,30,254,211
312,Washington Capitals,36,33,228,240
313,Mighty Ducks of Anaheim,40,27,203,193
314,Atlanta Thrashers,31,39,226,284
315,Boston Bruins,36,31,245,237
316,Buffalo Sabres,27,37,190,219
317,Calgary Flames,29,36,186,228
318,Carolina Hurricanes,22,43,171,240
319,Columbus Blue Jackets,29,42,213,263
320,Chicago Blackhawks,30,33,207,226
321,Colorado Avalanche,42,19,251,194
322,Dallas Stars,46,17,245,169
323,Detroit Red Wings,48,20,269,203
324,Edmonton Oilers,36,26,231,230
325,Florida Panthers,24,36,176,237
326,Los Angeles Kings,33,37,203,221
327,Minnesota Wild,42,29,198,178
328,Montreal Canadiens,30,35,206,234
329,Nashville Predators,27,35,183,206
330,New Jersey Devils,46,20,216,166
331,New York Islanders,35,34,224,231
332,New York Rangers,32,36,210,231
333,Ottawa Senators,52,21,263,182
334,Philadelphia Flyers,45,20,211,166
335,Phoenix Coyotes,31,35,204,230
336,Pittsburgh Penguins,27,44,189,255
337,San Jose Sharks,28,37,214,239
338,St. Louis Blues,41,24,253,222
339,Tampa Bay Lightning,36,25,219,210
340,Toronto Maple Leafs,44,28,236,208
341,Vancouver Canucks,45,23,264,208
342,Washington Capitals,39,29,224,220
343,Mighty Ducks of Anaheim,29,35,184,213
344,Atlanta Thrashers,33,37,214,243
345,Boston Bruins,41,19,209,188
346,Buffalo Sabres,37,34,220,221
347,Calgary Flames,42,30,200,176
348,Carolina Hurricanes,28,34,172,209
349,Columbus Blue Jackets,25,45,177,238
350,Chicago Blackhawks,20,43,188,259
351,Colorado Avalanche,40,22,236,198
352,Dallas Stars,41,26,194,175
353,Detroit Red Wings,48,21,255,189
354,Edmonton Oilers,36,29,221,208
355,Florida Panthers,28,35,188,221
356,Los Angeles Kings,28,29,205,217
357,Minnesota Wild,30,29,188,183
358,Montreal Canadiens,41,30,208,192
359,Nashville Predators,38,29,216,217
360,New Jersey Devils,43,25,213,164
361,New York Islanders,38,29,237,210
362,New York Rangers,27,40,206,250
363,Ottawa Senators,43,23,262,189
364,Philadelphia Flyers,40,21,229,186
365,Phoenix Coyotes,22,36,188,245
366,Pittsburgh Penguins,23,47,190,303
367,San Jose Sharks,43,21,219,183
368,St. Louis Blues,39,30,191,198
369,Tampa Bay Lightning,46,22,245,192
370,Toronto Maple Leafs,45,24,242,204
371,Vancouver Canucks,43,24,235,194
372,Washington Capitals,23,46,186,253
373,Mighty Ducks of Anaheim,43,27,254,229
374,Atlanta Thrashers,41,33,281,275
375,Boston Bruins,29,37,230,266
376,Buffalo Sabres,52,24,281,239
377,Calgary Flames,46,25,218,200
378,Carolina Hurricanes,52,22,294,260
379,Columbus Blue Jackets,35,43,223,279
380,Chicago Blackhawks,26,43,211,285
381,Colorado Avalanche,43,30,283,257
382,Dallas Stars,53,23,265,218
383,Detroit Red Wings,58,16,305,209
384,Edmonton Oilers,41,28,256,251
385,Florida Panthers,37,34,240,257
386,Los Angeles Kings,42,35,249,270
387,Minnesota Wild,38,36,231,215
388,Montreal Canadiens,42,31,243,247
389,Nashville Predators,49,25,259,227
390,New Jersey Devils,46,27,242,229
391,New York Islanders,36,40,230,278
392,New York Rangers,44,26,257,215
393,Ottawa Senators,52,21,314,211
394,Philadelphia Flyers,45,26,267,259
395,Phoenix Coyotes,38,39,246,271
396,Pittsburgh Penguins,22,46,244,316
397,San Jose Sharks,44,27,266,242
398,St. Louis Blues,21,46,197,292
399,Tampa Bay Lightning,43,33,252,260
400,Toronto Maple Leafs,41,33,257,270
401,Vancouver Canucks,42,32,256,255
402,Washington Capitals,29,41,237,306
403,Anaheim Ducks,48,20,258,208
404,Atlanta Thrashers,43,28,246,245
405,Boston Bruins,35,41,219,289
406,Buffalo Sabres,53,22,308,242
407,Calgary Flames,43,29,258,226
408,Carolina Hurricanes,40,34,241,253
409,Columbus Blue Jackets,33,42,201,249
410,Chicago Blackhawks,31,42,201,258
411,Colorado Avalanche,44,31,272,251
412,Dallas Stars,50,25,226,197
413,Detroit Red Wings,50,19,254,199
414,Edmonton Oilers,32,43,195,248
415,Florida Panthers,35,31,247,257
416,Los Angeles Kings,27,41,227,283
417,Minnesota Wild,48,26,235,191
418,Montreal Canadiens,42,34,245,256
419,Nashville Predators,51,23,272,212
420,New Jersey Devils,49,24,216,201
421,New York Islanders,40,30,248,240
422,New York Rangers,42,30,242,216
423,Ottawa Senators,48,25,288,222
424,Philadelphia Flyers,22,48,214,303
425,Phoenix Coyotes,31,46,216,284
426,Pittsburgh Penguins,47,24,277,246
427,San Jose Sharks,51,26,258,199
428,St. Louis Blues,34,35,214,254
429,Tampa Bay Lightning,44,33,253,261
430,Toronto Maple Leafs,40,31,258,269
431,Vancouver Canucks,49,26,222,201
432,Washington Capitals,28,40,235,286
433,Anaheim Ducks,47,27,205,191
434,Atlanta Thrashers,34,40,216,272
435,Boston Bruins,41,29,212,222
436,Buffalo Sabres,39,31,255,242
437,Calgary Flames,42,30,229,227
438,Carolina Hurricanes,43,33,252,249
439,Columbus Blue Jackets,34,36,193,218
440,Chicago Blackhawks,40,34,239,235
441,Colorado Avalanche,44,31,231,219
442,Dallas Stars,45,30,242,207
443,Detroit Red Wings,54,21,257,184
444,Edmonton Oilers,41,35,235,251
445,Florida Panthers,38,35,216,226
446,Los Angeles Kings,32,43,231,266
447,Minnesota Wild,44,28,223,218
448,Montreal Canadiens,47,25,262,222
449,Nashville Predators,41,32,230,229
450,New Jersey Devils,46,29,206,197
451,New York Islanders,35,38,194,243
452,New York Rangers,42,27,213,199
453,Ottawa Senators,43,31,261,247
454,Philadelphia Flyers,42,29,248,233
455,Phoenix Coyotes,38,37,214,231
456,Pittsburgh Penguins,47,27,247,216
457,San Jose Sharks,49,23,222,193
458,St. Louis Blues,33,36,205,237
459,Tampa Bay Lightning,31,42,223,267
460,Toronto Maple Leafs,36,35,231,260
461,Vancouver Canucks,39,33,213,215
462,Washington Capitals,43,31,242,231
463,Anaheim Ducks,42,33,245,238
464,Atlanta Thrashers,35,41,257,280
465,Boston Bruins,53,19,274,196
466,Buffalo Sabres,41,32,250,234
467,Calgary Flames,46,30,254,248
468,Carolina Hurricanes,45,30,239,226
469,Columbus Blue Jackets,41,31,226,230
470,Chicago Blackhawks,46,24,264,216
471,Colorado Avalanche,32,45,199,257
472,Dallas Stars,36,35,230,257
473,Detroit Red Wings,51,21,295,244
474,Edmonton Oilers,38,35,234,248
475,Florida Panthers,41,30,234,231
476,Los Angeles Kings,34,37,207,234
477,Minnesota Wild,40,33,219,200
478,Montreal Canadiens,41,30,249,247
479,Nashville Predators,40,34,213,233
480,New Jersey Devils,51,27,244,209
481,New York Islanders,26,47,201,279
482,New York Rangers,43,30,210,218
483,Ottawa Senators,36,35,217,237
484,Philadelphia Flyers,44,27,264,238
485,Phoenix Coyotes,36,39,208,252
486,Pittsburgh Penguins,45,28,264,239
487,San Jose Sharks,53,18,257,204
488,St. Louis Blues,41,31,233,233
489,Tampa Bay Lightning,24,40,210,279
490,Toronto Maple Leafs,34,35,250,293
491,Vancouver Canucks,45,27,246,220
492,Washington Capitals,50,24,272,245
493,Anaheim Ducks,39,32,238,251
494,Atlanta Thrashers,35,34,234,256
495,Boston Bruins,39,30,206,200
496,Buffalo Sabres,45,27,235,207
497,Calgary Flames,40,32,204,210
498,Carolina Hurricanes,35,37,230,256
499,Columbus Blue Jackets,32,35,216,259
500,Chicago Blackhawks,52,22,271,209
501,Colorado Avalanche,43,30,244,233
502,Dallas Stars,37,31,237,254
503,Detroit Red Wings,44,24,229,216
504,Edmonton Oilers,27,47,214,284
505,Florida Panthers,32,37,208,244
506,Los Angeles Kings,46,27,241,219
507,Minnesota Wild,38,36,219,246
508,Montreal Canadiens,39,33,217,223
509,Nashville Predators,47,29,225,225
510,New Jersey Devils,48,27,222,191
511,New York Islanders,34,37,222,264
512,New York Rangers,38,33,222,218
513,Ottawa Senators,44,32,225,238
514,Philadelphia Flyers,41,35,236,225
515,Phoenix Coyotes,50,25,225,202
516,Pittsburgh Penguins,47,28,257,237
517,San Jose Sharks,51,20,264,215
518,St. Louis Blues,40,32,225,223
519,Tampa Bay Lightning,34,36,217,260
520,Toronto Maple Leafs,30,38,214,267
521,Vancouver Canucks,49,28,272,222
522,Washington Capitals,54,15,318,233
523,Anaheim Ducks,47,30,239,235
524,Atlanta Thrashers,34,36,223,269
525,Boston Bruins,46,25,246,195
526,Buffalo Sabres,43,29,245,229
527,Calgary Flames,41,29,250,237
528,Carolina Hurricanes,40,31,236,239
529,Columbus Blue Jackets,34,35,215,258
530,Chicago Blackhawks,44,29,258,225
531,Colorado Avalanche,30,44,227,288
532,Dallas Stars,42,29,227,233
533,Detroit Red Wings,47,25,261,241
534,Edmonton Oilers,25,45,193,269
535,Florida Panthers,30,40,195,229
536,Los Angeles Kings,46,30,219,198
537,Minnesota Wild,39,35,206,233
538,Montreal Canadiens,44,30,216,209
539,Nashville Predators,44,27,219,194
540,New Jersey Devils,38,39,174,209
541,New York Islanders,30,39,229,264
542,New York Rangers,44,33,233,198
543,Ottawa Senators,32,40,192,250
544,Philadelphia Flyers,47,23,259,223
545,Phoenix Coyotes,43,26,231,226
546,Pittsburgh Penguins,49,25,238,199
547,San Jose Sharks,48,25,248,213
548,St. Louis Blues,38,33,240,234
549,Tampa Bay Lightning,46,25,247,240
550,Toronto Maple Leafs,37,34,218,251
551,Vancouver Canucks,54,19,262,185
552,Washington Capitals,48,23,224,197
553,Anaheim Ducks,34,36,204,231
554,Boston Bruins,49,29,269,202
555,Buffalo Sabres,39,32,218,230
556,Calgary Flames,37,29,202,226
557,Carolina Hurricanes,33,33,213,243
558,Columbus Blue Jackets,29,46,202,262
559,Chicago Blackhawks,45,26,248,238
560,Colorado Avalanche,41,35,208,220
561,Dallas Stars,42,35,211,222
562,Detroit Red Wings,48,28,248,203
563,Edmonton Oilers,32,40,212,239
564,Florida Panthers,38,26,203,227
565,Los Angeles Kings,40,27,194,179
566,Minnesota Wild,35,36,177,226
567,Montreal Canadiens,31,35,212,226
568,Nashville Predators,48,26,237,210
569,New Jersey Devils,48,28,228,209
570,New York Islanders,34,37,203,255
571,New York Rangers,51,24,226,187
572,Ottawa Senators,41,31,249,240
573,Philadelphia Flyers,47,26,264,232
574,Phoenix Coyotes,42,27,216,204
575,Pittsburgh Penguins,51,25,282,221
576,San Jose Sharks,43,29,228,210
577,St. Louis Blues,49,22,210,165
578,Tampa Bay Lightning,38,36,235,281
579,Toronto Maple Leafs,35,37,231,264
580,Vancouver Canucks,51,22,249,198
581,Washington Capitals,42,32,222,230
582,Winnipeg Jets,37,35,225,246
